TimeElapsed,time,territoryName,totalMandates,availableMandates,numParishes,numParishesApproved,blankVotes,blankVotesPercentage,nullVotes,nullVotesPercentage,votersPercentage,subscribedVoters,totalVoters,pre.blankVotes,pre.blankVotesPercentage,pre.nullVotes,pre.nullVotesPercentage,pre.votersPercentage,pre.subscribedVoters,pre.totalVoters,Party,Mandates,Percentage,validVotesPercentage,Votes,Hondt,FinalMandates
215,2019-10-06 23:45:02,Lisboa,39,9,134,132,22963,2.15,15721,1.47,57.07,1867901,1065997,21416,1.92,16667,1.49,60.39,1849653,1116978,CDS-PP,2,4.34,4.51,46304,2,2
120,2019-10-06 22:10:01,Guarda,3,0,242,242,2026,2.64,2057,2.68,50.58,151535,76649,1689,1.98,1987,2.32,52.29,163462,85469,PNR,0,0.22,0.23,165,0,0
130,2019-10-06 22:20:02,Santarém,9,0,141,141,6022,2.91,4011,1.94,54.38,380489,206918,5142,2.26,3967,1.74,57.87,393314,227620,IL,0,0.78,0.82,1605,0,0
165,2019-10-06 22:55:02,Castelo Branco,4,0,120,120,2250,2.4,2232,2.38,55.09,170075,93695,2091,2.01,2167,2.08,57.46,181378,104223,PURP,0,0.29,0.31,273,0,0
230,2019-10-07 00:00:02,Bragança,3,0,226,226,1306,2.06,1416,2.23,44.89,141541,63534,1189,1.71,1408,2.02,47.23,147465,69644,PDR,0,0.19,0.2,121,0,0
180,2019-10-06 23:10:02,Portalegre,2,0,69,69,1188,2.32,988,1.93,53.13,96391,51212,1130,1.92,896,1.52,58.31,101189,59004,R.I.R.,0,0.41,0.43,209,0,0
135,2019-10-06 22:25:01,Açores,5,0,156,154,3885,4.72,1338,1.63,36.49,225345,82234,3015,3.27,1555,1.68,41.23,223950,92328,MAS,0,0.13,0.14,111,0,0
0,2019-10-06 20:10:02,Território Nacional,0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,NC,0,0.21,0.22,794,0,0
230,2019-10-07 00:00:02,Leiria,10,0,110,110,8202,3.67,5152,2.3,53.88,415065,223632,6902,2.89,4699,1.97,56.26,423801,238433,B.E.,1,9.36,9.95,20925,1,1
235,2019-10-07 00:05:01,Madeira,6,0,54,54,697,0.54,2292,1.77,50.29,258144,129821,1018,0.81,3597,2.88,48.9,255821,125104,CH,0,0.7,0.72,911,0,0
215,2019-10-06 23:45:02,Santarém,9,0,141,141,6022,2.91,4011,1.94,54.38,380489,206918,5142,2.26,3967,1.74,57.87,393314,227620,PCP-PEV,1,7.57,7.95,15662,1,1
155,2019-10-06 22:45:01,Açores,5,0,156,156,3926,4.7,1363,1.63,36.5,228954,83565,3047,3.25,1583,1.69,41.22,227546,93803,PAN,0,2.65,2.83,2215,0,0
65,2019-10-06 21:15:02,Coimbra,1,8,155,126,3848,3.61,2338,2.2,51.91,205076,106449,3211,2.73,2194,1.86,54.83,214675,117704,L,0,0.78,0.82,825,0,0
225,2019-10-06 23:55:01,Viseu,8,0,277,277,4995,2.81,3700,2.08,51.04,348061,177647,4235,2.22,3632,1.9,51.28,371931,190712,PURP,0,0.2,0.21,363,0,0
140,2019-10-06 22:30:01,Beja,3,0,75,75,1371,2.13,1094,1.7,52.26,122987,64269,1230,1.65,1132,1.52,57.77,128926,74485,A,0,0.39,0.41,252,0,0
255,2019-10-07 00:25:01,Portalegre,2,0,69,69,1188,2.32,988,1.93,53.13,96391,51212,1130,1.92,896,1.52,58.31,101189,59004,PCTP/MRPP,0,1.21,1.27,622,0,0
10,2019-10-06 20:20:02,Lisboa,0,48,134,6,127,2.78,114,2.49,55.33,8265,4573,119,2.43,104,2.12,58.24,8414,4900,CDS-PP,0,5.49,5.79,251,3,2
240,2019-10-07 00:10:02,Castelo Branco,4,0,120,120,2250,2.4,2232,2.38,55.09,170075,93695,2091,2.01,2167,2.08,57.46,181378,104223,PCTP/MRPP,0,0.74,0.78,694,0,0
165,2019-10-06 22:55:02,Braga,19,0,347,347,14504,3.12,8029,1.72,59.83,778173,465570,10708,2.26,6112,1.29,60.21,787768,474341,MAS,0,0.12,0.12,544,0,0
125,2019-10-06 22:15:01,Lisboa,7,41,134,86,8997,2.38,5960,1.58,57.49,656467,377417,7971,2.01,6063,1.53,60.6,654169,396408,PS,4,37.5,39.05,141539,20,20
60,2019-10-06 21:10:01,Portalegre,0,2,69,55,676,2.13,602,1.9,52.93,59875,31692,658,1.8,522,1.43,57.96,63020,36527,PCTP/MRPP,0,1.22,1.28,388,0,0
140,2019-10-06 22:30:01,Évora,3,0,69,69,1680,2.27,1047,1.41,54.15,136696,74026,1421,1.68,1079,1.28,59.9,141258,84617,NC,0,0.42,0.44,311,0,0
15,2019-10-06 20:25:02,Porto,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,L,0,0.64,0.67,74,0,0
260,2019-10-07 00:30:02,Lisboa,48,0,134,134,23702,2.15,16081,1.46,57.33,1921047,1101346,22176,1.92,17112,1.49,60.6,1900982,1152050,IL,1,2.47,2.56,27166,1,1
60,2019-10-06 21:10:01,Santarém,1,8,141,115,3698,2.89,2496,1.95,54.45,235365,128165,3081,2.16,2532,1.78,57.93,245717,142352,CDS-PP,0,4.26,4.47,5457,0,0
180,2019-10-06 23:10:02,Aveiro,16,0,147,147,10642,3.02,6375,1.81,54.55,645655,352179,9163,2.49,6130,1.67,56.31,653597,368071,JPP,0,0.07,0.08,264,0,0
265,2019-10-07 00:35:01,Viseu,8,0,277,277,4995,2.81,3700,2.08,51.04,348061,177647,4235,2.22,3632,1.9,51.28,371931,190712,PPD/PSD,4,36.24,38.1,64373,4,4
165,2019-10-06 22:55:02,Lisboa,25,23,134,118,18434,2.22,12535,1.51,56.61,1468406,831301,16962,1.95,13135,1.51,59.99,1451192,870623,A,0,1.25,1.3,10417,0,0
0,2019-10-06 20:10:02,Território Nacional,0,226,3092,1081,9652,2.5,8874,2.3,51.36,752529,386497,8317,1.94,8171,1.91,52.66,813743,428546,PTP,0,0.17,0.18,674,0,0
235,2019-10-07 00:05:01,Viana do Castelo,6,0,208,208,3617,2.97,2199,1.8,50.6,240917,121913,3228,2.51,2141,1.67,50.74,253219,128488,PAN,0,2.36,2.48,2876,0,0
190,2019-10-06 23:20:01,Santarém,9,0,141,141,6022,2.91,4011,1.94,54.38,380489,206918,5142,2.26,3967,1.74,57.87,393314,227620,CDS-PP,0,4.73,4.97,9793,0,0
170,2019-10-06 23:00:01,Guarda,3,0,242,242,2026,2.64,2057,2.68,50.58,151535,76649,1689,1.98,1987,2.32,52.29,163462,85469,CDS-PP,0,4.99,5.27,3823,0,0
140,2019-10-06 22:30:01,Coimbra,5,4,155,154,6229,3.44,3577,1.97,52.72,343845,181289,5328,2.7,3294,1.67,55.46,355353,197073,B.E.,0,11.0,11.63,19938,1,1
255,2019-10-07 00:25:01,Viana do Castelo,6,0,208,208,3617,2.97,2199,1.8,50.6,240917,121913,3228,2.51,2141,1.67,50.74,253219,128488,PCTP/MRPP,0,0.55,0.58,671,0,0
100,2019-10-06 21:50:01,Santarém,5,4,141,139,5593,2.94,3743,1.97,54.44,349757,190395,4724,2.25,3700,1.76,57.87,362621,209832,PPD/PSD,2,25.16,26.46,47905,3,3
130,2019-10-06 22:20:02,Évora,3,0,69,69,1680,2.27,1047,1.41,54.15,136696,74026,1421,1.68,1079,1.28,59.9,141258,84617,PTP,0,0.11,0.12,82,0,0
175,2019-10-06 23:05:01,Viana do Castelo,6,0,208,208,3617,2.97,2199,1.8,50.6,240917,121913,3228,2.51,2141,1.67,50.74,253219,128488,PCP-PEV,0,3.97,4.17,4839,0,0
120,2019-10-06 22:10:01,Coimbra,3,6,155,152,5896,3.45,3432,2.01,52.73,324469,171077,5064,2.72,3171,1.7,55.43,335983,186241,CH,0,0.95,1.0,1621,0,0
20,2019-10-06 20:30:02,Porto,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,PDR,0,0.21,0.22,24,0,0
70,2019-10-06 21:20:02,Guarda,0,3,242,238,1672,2.68,1716,2.75,49.3,126542,62382,1442,2.03,1648,2.32,51.21,138524,70936,PPD/PSD,0,34.77,36.77,21693,1,1
70,2019-10-06 21:20:02,Braga,7,12,347,291,9595,3.07,5557,1.78,59.72,523337,312529,7078,2.21,4060,1.27,59.71,536320,320226,PPD/PSD,3,34.32,36.07,107263,8,8
240,2019-10-07 00:10:02,Setúbal,11,7,55,53,7693,2.12,5528,1.53,53.74,673902,362157,6765,1.75,5700,1.48,58.34,661584,385964,PPD/PSD,2,14.92,15.49,54042,3,3
175,2019-10-06 23:05:01,Coimbra,9,0,155,155,6889,3.38,3814,1.87,53.66,380095,203950,5929,2.69,3536,1.61,56.33,390947,220211,L,0,0.94,1.0,1926,0,0
95,2019-10-06 21:45:02,Santarém,3,6,141,136,5147,2.95,3416,1.96,54.76,318065,174182,4301,2.24,3386,1.76,58.1,330516,192023,IL,0,0.74,0.78,1288,0,0
140,2019-10-06 22:30:01,Setúbal,4,14,55,40,4820,2.16,3521,1.58,54.9,405936,222841,4218,1.78,3652,1.54,59.33,399245,236884,CH,0,1.91,1.98,4248,0,0
140,2019-10-06 22:30:01,Guarda,3,0,242,242,2026,2.64,2057,2.68,50.58,151535,76649,1689,1.98,1987,2.32,52.29,163462,85469,MPT,0,0.16,0.17,122,0,0
95,2019-10-06 21:45:02,Castelo Branco,1,3,120,119,2079,2.38,2097,2.4,55.14,158492,87388,1957,2.01,2044,2.1,57.4,169613,97365,PTP,0,0.16,0.17,144,0,0
100,2019-10-06 21:50:01,Santarém,5,4,141,139,5593,2.94,3743,1.97,54.44,349757,190395,4724,2.25,3700,1.76,57.87,362621,209832,CDS-PP,0,4.71,4.95,8966,0,0
30,2019-10-06 20:40:02,Santarém,0,9,141,40,609,2.65,495,2.16,56.78,40414,22948,525,2.03,530,2.05,59.47,43503,25872,B.E.,0,9.25,9.71,2122,1,1
15,2019-10-06 20:25:02,Portalegre,0,2,69,23,136,1.86,139,1.9,57.36,12730,7302,140,1.65,105,1.24,61.67,13766,8489,A,0,0.37,0.38,27,0,0
85,2019-10-06 21:35:01,Santarém,3,6,141,134,5085,2.97,3359,1.96,54.77,313074,171481,4247,2.25,3341,1.77,58.16,325149,189092,B.E.,0,10.14,10.66,17386,1,1
205,2019-10-06 23:35:02,Viana do Castelo,6,0,208,208,3617,2.97,2199,1.8,50.6,240917,121913,3228,2.51,2141,1.67,50.74,253219,128488,A,0,0.56,0.58,679,0,0
210,2019-10-06 23:40:01,Porto,32,8,243,242,20665,2.28,14809,1.63,58.64,1548193,907812,18317,1.97,13649,1.46,60.29,1545878,932006,PDR,0,0.16,0.16,1415,0,0
55,2019-10-06 21:05:01,Santarém,1,8,141,113,3653,2.9,2480,1.97,54.52,231343,126138,3050,2.18,2520,1.8,57.98,241520,140031,PCP-PEV,0,7.49,7.88,9454,0,1
250,2019-10-07 00:20:02,Viseu,8,0,277,277,4995,2.81,3700,2.08,51.04,348061,177647,4235,2.22,3632,1.9,51.28,371931,190712,PAN,0,2.13,2.24,3778,0,0
65,2019-10-06 21:15:02,Évora,0,3,69,61,983,2.15,655,1.43,54.61,83746,45730,813,1.54,662,1.25,60.34,87702,52920,NC,0,0.44,0.46,201,0,0
95,2019-10-06 21:45:02,Aveiro,4,12,147,114,6612,3.06,4008,1.85,53.93,400722,216128,5782,2.54,3909,1.71,55.87,408206,228064,PCP-PEV,0,2.87,3.02,6203,0,0
235,2019-10-07 00:05:01,Braga,19,0,347,347,14504,3.12,8029,1.72,59.83,778173,465570,10708,2.26,6112,1.29,60.21,787768,474341,PTP,0,0.11,0.12,522,0,0
230,2019-10-07 00:00:02,Lisboa,39,9,134,132,22961,2.15,15729,1.48,57.07,1867900,1065978,21416,1.92,16667,1.49,60.39,1849653,1116978,A,0,1.26,1.31,13461,0,0
65,2019-10-06 21:15:02,Território Nacional,27,199,3092,2478,53068,2.75,38526,2.0,52.61,3665569,1928466,44301,2.13,36460,1.76,54.6,3804256,2077162,PURP,0,0.22,0.23,4226,0,0
230,2019-10-07 00:00:02,Coimbra,9,0,155,155,6889,3.38,3814,1.87,53.66,380095,203950,5929,2.69,3536,1.61,56.33,390947,220211,MAS,0,0.12,0.13,251,0,0
200,2019-10-06 23:30:01,Braga,19,0,347,347,14504,3.12,8029,1.72,59.83,778173,465570,10708,2.26,6112,1.29,60.21,787768,474341,CDS-PP,1,4.11,4.32,19127,1,1
200,2019-10-06 23:30:01,Guarda,3,0,242,242,2026,2.64,2057,2.68,50.58,151535,76649,1689,1.98,1987,2.32,52.29,163462,85469,PDR,0,0.13,0.14,103,0,0
75,2019-10-06 21:25:02,Açores,0,5,156,118,2451,5.15,743,1.56,36.6,129922,47556,1833,3.38,921,1.7,41.83,129617,54214,MAS,0,0.14,0.15,68,0,0
125,2019-10-06 22:15:01,Bragança,1,2,226,224,1172,2.04,1304,2.27,44.59,128614,57348,1074,1.7,1265,2.0,46.9,134747,63194,PAN,0,1.23,1.28,704,0,0
130,2019-10-06 22:20:02,Setúbal,4,14,55,37,4544,2.15,3350,1.58,54.79,386289,211665,3982,1.77,3460,1.54,59.24,380313,225290,PURP,0,0.26,0.27,560,0,0
70,2019-10-06 21:20:02,Vila Real,2,3,197,173,1561,2.19,1765,2.47,44.2,161553,71405,1324,1.66,1460,1.83,46.73,170341,79600,PS,1,37.87,39.72,27041,2,2
5,2019-10-06 20:15:02,Madeira,0,6,54,9,19,0.59,60,1.88,46.69,6848,3197,32,1.0,98,3.05,46.04,6983,3215,PCP-PEV,0,0.78,0.8,25,0,0
80,2019-10-06 21:30:01,Santarém,3,6,141,134,5085,2.97,3359,1.96,54.77,313074,171481,4247,2.25,3341,1.77,58.16,325149,189092,IL,0,0.74,0.78,1266,0,0
170,2019-10-06 23:00:01,Viana do Castelo,6,0,208,208,3617,2.97,2199,1.8,50.6,240917,121913,3228,2.51,2141,1.67,50.74,253219,128488,B.E.,0,8.47,8.89,10320,0,0
30,2019-10-06 20:40:02,Porto,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,PCP-PEV,0,2.27,2.36,262,1,2
100,2019-10-06 21:50:01,Leiria,3,7,110,100,6231,3.7,4121,2.45,54.14,310750,168236,5240,2.89,3699,2.04,56.35,321229,181028,MPT,0,0.29,0.31,487,0,0
240,2019-10-07 00:10:02,Madeira,6,0,54,54,697,0.54,2292,1.77,50.29,258144,129821,1018,0.81,3597,2.88,48.9,255821,125104,PCP-PEV,0,2.08,2.13,2702,0,0
255,2019-10-07 00:25:01,Leiria,10,0,110,110,8202,3.67,5152,2.3,53.88,415065,223632,6902,2.89,4699,1.97,56.26,423801,238433,PCTP/MRPP,0,0.73,0.78,1631,0,0
185,2019-10-06 23:15:01,Braga,19,0,347,347,14504,3.12,8029,1.72,59.83,778173,465570,10708,2.26,6112,1.29,60.21,787768,474341,PCP-PEV,0,3.96,4.16,18443,0,0
170,2019-10-06 23:00:01,Guarda,3,0,242,242,2026,2.64,2057,2.68,50.58,151535,76649,1689,1.98,1987,2.32,52.29,163462,85469,PURP,0,0.2,0.21,154,0,0
265,2019-10-07 00:35:01,Madeira,6,0,54,54,697,0.54,2292,1.77,50.29,258144,129821,1018,0.81,3597,2.88,48.9,255821,125104,JPP,0,5.49,5.62,7125,0,0
35,2019-10-06 20:45:02,Guarda,0,3,242,173,735,2.49,828,2.81,48.5,60818,29494,698,2.04,893,2.61,50.38,67834,34177,PTP,0,0.29,0.3,85,0,0
0,2019-10-06 20:10:02,Vila Real,0,5,197,83,453,1.98,618,2.7,42.94,53405,22931,393,1.51,498,1.92,45.14,57540,25973,CDS-PP,0,5.02,5.27,1152,0,0
80,2019-10-06 21:30:01,Bragança,0,3,226,217,885,2.02,1017,2.32,44.43,98567,43790,814,1.65,978,1.99,46.77,105284,49245,PCTP/MRPP,0,0.53,0.55,232,0,0
5,2019-10-06 20:15:02,Faro,0,9,67,15,239,3.26,149,2.03,52.16,14071,7340,197,2.37,158,1.9,56.47,14706,8304,MPT,0,0.27,0.29,20,0,0
180,2019-10-06 23:10:02,Guarda,3,0,242,242,2026,2.64,2057,2.68,50.58,151535,76649,1689,1.98,1987,2.32,52.29,163462,85469,A,0,0.53,0.56,406,0,0
190,2019-10-06 23:20:01,Braga,19,0,347,347,14504,3.12,8029,1.72,59.83,778173,465570,10708,2.26,6112,1.29,60.21,787768,474341,PTP,0,0.11,0.12,522,0,0
225,2019-10-06 23:55:01,Porto,40,0,243,243,21233,2.27,15185,1.63,58.59,1594688,934379,18902,1.97,14073,1.47,60.3,1591787,959919,PCP-PEV,2,4.8,5.0,44859,2,2
185,2019-10-06 23:15:01,Beja,3,0,75,75,1371,2.13,1094,1.7,52.26,122987,64269,1230,1.65,1132,1.52,57.77,128926,74485,MPT,0,0.26,0.27,169,0,0
0,2019-10-06 20:10:02,Porto,0,40,243,21,223,1.93,230,1.99,54.31,21271,11553,168,1.36,213,1.73,55.08,22356,12314,PCP-PEV,0,2.27,2.36,262,1,2
260,2019-10-07 00:30:02,Viana do Castelo,6,0,208,208,3617,2.97,2199,1.8,50.6,240917,121913,3228,2.51,2141,1.67,50.74,253219,128488,CDS-PP,0,6.21,6.53,7576,0,0
220,2019-10-06 23:50:02,Faro,9,0,67,67,4900,2.84,3069,1.78,45.83,376801,172699,4286,2.25,3079,1.62,51.38,370764,190484,PPD/PSD,3,22.3,23.38,38516,3,3
85,2019-10-06 21:35:01,Faro,3,6,67,61,4129,2.91,2541,1.79,45.89,309740,142127,3576,2.27,2522,1.6,51.34,306166,157191,IL,0,0.82,0.86,1169,0,0
250,2019-10-07 00:20:02,Bragança,3,0,226,226,1306,2.06,1416,2.23,44.89,141541,63534,1189,1.71,1408,2.02,47.23,147465,69644,PCP-PEV,0,2.12,2.22,1347,0,0
135,2019-10-06 22:25:01,Guarda,3,0,242,242,2026,2.64,2057,2.68,50.58,151535,76649,1689,1.98,1987,2.32,52.29,163462,85469,PS,2,37.55,39.66,28783,2,2
30,2019-10-06 20:40:02,Portalegre,0,2,69,23,136,1.86,139,1.9,57.36,12730,7302,140,1.65,105,1.24,61.67,13766,8489,R.I.R.,0,0.41,0.43,30,0,0
55,2019-10-06 21:05:01,Guarda,0,3,242,236,1540,2.66,1594,2.75,49.15,117861,57929,1347,2.04,1568,2.37,51.14,129328,66143,PTP,0,0.25,0.27,147,0,0
65,2019-10-06 21:15:02,Aveiro,2,14,147,86,4435,3.08,2675,1.86,54.01,266159,143762,3879,2.56,2644,1.74,55.87,271719,151813,CH,0,0.82,0.86,1180,0,0
60,2019-10-06 21:10:01,Vila Real,2,3,197,170,1508,2.18,1704,2.47,44.21,156314,69106,1273,1.65,1421,1.84,46.72,165129,77144,L,0,0.42,0.44,289,0,0
215,2019-10-06 23:45:02,Coimbra,9,0,155,155,6889,3.38,3814,1.87,53.66,380095,203950,5929,2.69,3536,1.61,56.33,390947,220211,PNR,0,0.31,0.32,623,0,0
135,2019-10-06 22:25:01,Coimbra,5,4,155,154,6229,3.44,3577,1.97,52.72,343845,181289,5328,2.7,3294,1.67,55.46,355353,197073,R.I.R.,0,0.6,0.64,1095,0,0
145,2019-10-06 22:35:01,Évora,3,0,69,69,1680,2.27,1047,1.41,54.15,136696,74026,1421,1.68,1079,1.28,59.9,141258,84617,L,0,0.68,0.71,503,0,0
100,2019-10-06 21:50:01,Beja,3,0,75,75,1371,2.13,1094,1.7,52.26,122987,64269,1230,1.65,1132,1.52,57.77,128926,74485,B.E.,0,9.08,9.44,5833,0,0
25,2019-10-06 20:35:02,Faro,0,9,67,15,239,3.26,149,2.03,52.16,14071,7340,197,2.37,158,1.9,56.47,14706,8304,PPD/PSD,0,22.22,23.46,1631,3,3
225,2019-10-06 23:55:01,Guarda,3,0,242,242,2026,2.64,2057,2.68,50.58,151535,76649,1689,1.98,1987,2.32,52.29,163462,85469,IL,0,0.6,0.64,461,0,0
85,2019-10-06 21:35:01,Vila Real,2,3,197,183,1749,2.23,1923,2.45,44.81,175274,78532,1475,1.69,1600,1.84,47.27,184125,87032,CDS-PP,0,4.7,4.93,3693,0,0
170,2019-10-06 23:00:01,Setúbal,7,11,55,46,6266,2.14,4677,1.6,53.47,546364,292130,5461,1.75,4733,1.52,58.15,536926,312204,PTP,0,0.11,0.11,311,0,0
245,2019-10-07 00:15:01,Aveiro,16,0,147,147,10642,3.02,6375,1.81,54.55,645655,352179,9163,2.49,6130,1.67,56.31,653597,368071,MPT,0,0.2,0.21,707,0,0
115,2019-10-06 22:05:02,Porto,15,25,243,222,14046,2.35,10788,1.8,57.58,1039820,598684,11776,1.92,9297,1.51,59.33,1036268,614862,IL,0,1.04,1.09,6240,0,0
250,2019-10-07 00:20:02,Açores,5,0,156,156,3926,4.7,1363,1.63,36.5,228954,83565,3047,3.25,1583,1.69,41.22,227546,93803,MPT,0,0.39,0.42,326,0,0
265,2019-10-07 00:35:01,Território Nacional,226,0,3092,3092,129599,2.54,88539,1.74,54.5,9343084,5092424,112666,2.09,86473,1.61,57.0,9439701,5380451,NC,0,0.22,0.23,11239,0,0
65,2019-10-06 21:15:02,Viana do Castelo,2,4,208,194,2885,3.0,1739,1.81,49.63,193884,96222,2595,2.54,1736,1.7,49.65,205538,102042,PDR,0,0.24,0.26,234,0,0
